ID,Region,Date,Weekday,Apartment,Beds,Review,Pic Quality,Price,Accept
1,4,32,5,1,1,4.526974948,0.739994166,230.5529977,0
2,2,87,4,1,1,4.54845515,0.862642052,348.2034252,0
3,5,277,5,1,2,4.965732002,0.515547906,430.4623272,0
4,3,246,2,1,1,4.752734751,0.561547392,149.3054333,1
5,1,155,2,1,2,3.890960458,0.817141766,165.2641841,1
6,2,116,5,1,1,4.943372203,0.990913048,270.0019668,0
7,8,115,4,1,3,4.322199376,0.593140016,576.754677,0
8,7,140,1,1,3,4.811222655,0.78656896,457.2937371,1
9,5,132,7,1,2,4.57726532,0.799762098,435.9350121,0
10,10,88,5,1,2,4.851933386,0.943480843,307.1559594,0
11,2,244,7,0,1,4.823589031,0.842970058,246.5470776,0
12,8,192,4,1,1,4.540453614,0.464841773,350.4481079,0
13,10,211,2,1,1,4.857454879,0.645159136,262.0175746,0
14,5,298,5,1,3,4.659031493,0.997625411,546.2279062,0
15,4,82,6,1,1,4.525651701,0.849262514,351.2417923,0
16,9,209,7,1,2,4.960792635,0.62183363,283.2581185,1
17,8,242,5,1,2,4.953157743,0.906570031,473.6609988,0
18,6,91,1,1,1,4.891201509,0.957222904,372.6700427,0
19,1,7,1,1,2,4.939119221,0.875869041,289.5902472,1
20,2,343,1,1,1,4.992112827,0.680777741,285.1683156,0
21,3,249,5,1,1,4.746780884,0.784702716,337.8041133,1
22,8,130,5,0,1,4.939787661,0.917247508,290.4634167,0
23,8,4,5,0,3,4.513815611,0.96714909,450.4926895,0
24,7,65,3,0,3,4.148750329,0.518029127,276.1141895,1
25,6,114,3,1,1,4.220022761,0.904630414,337.8723129,0
26,5,51,3,1,4,4.465407073,0.623404111,474.0335762,0
27,8,118,7,1,2,4.446310109,0.799421446,346.5641918,0
28,10,306,6,1,2,4.484806725,0.537822186,377.4261221,0
29,7,128,3,1,1,4.832295109,0.938285648,386.7149297,0
30,6,295,2,1,1,4.934403634,0.727297257,269.5713806,0
31,7,8,2,1,3,4.546199629,0.861515745,333.9558698,1
32,2,35,1,0,1,3.475448897,0.848124827,252.4827041,0
33,1,17,4,1,2,4.93483122,0.165591647,314.4042279,0
34,10,307,7,1,1,4.710727321,0.803784092,236.4521007,1
35,5,288,2,1,2,3.081446844,0.463901236,150.2853942,0
36,9,323,2,0,1,4.84153849,0.745884116,212.7981821,0
37,9,136,4,1,3,4.211941509,0.532149555,475.5011509,0
